"filename", "language", "Solidity", "Markdown", "JSON", "HTML", "Python", "JavaScript", "TypeScript", "XML", "CSS", "SCSS", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\backend\script.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\backend\test\script.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\script.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\abstracts\ERC173.sol", "Solidity", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 46
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\abstracts\ERC20.sol", "Solidity", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 12, 117
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\abstracts\ERC2535.sol", "Solidity", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\abstracts\ERC2612.sol", "Solidity", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 4, 126
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\abstracts\ERC4626.sol", "Solidity", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 356, 20, 397
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\abstracts\ERC5313.sol", "Solidity", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 31
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\abstracts\ERC6357R.sol", "Solidity", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 3, 57
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\abstracts\ERC6372R.sol", "Solidity", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 3, 53
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\import\openzeppelin-upgradeable\access\AccessControlDefaultAdminRulesUpgradeable.sol", "Solidity", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 48, 410
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\import\openzeppelin-upgradeable\access\AccessControlEnumerableUpgradeable.sol", "Solidity", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 12, 78
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\code\contract\sol\import\openzeppelin-upgradeable\access\AccessControlUpgradeable.sol", "Solidity", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 21, 231
